,Feature,Importance
573,COMORBIDADES_ETILISMO/TABAGISMO,0.0007855591415633961
345,MÉDIA DE PERMANÊNCIA_32-33,0.0007707936174265036
1561,prontuario_RETORNO AMBULATÓRIO OK,0.0007669505441118454
1641,prontuario_UMA SUSP 30/06 ITU,0.0007580109058957953
1022,MÊS_jan.-19,0.0007548935496523865
1051,MÊS_nov.-18,0.0007501684705223253
600,COMORBIDADES_HAS DM,0.0007288703962191331
995,MÊS_MARÇO,0.0007056563835185825
748,COMORBIDADES_HAS/DM/HIPOTIREOIDISMO,0.0007034662189372849
955,COMORBIDADES_SENILIDADE+HIPOTIREIDISMO,0.0006959640659286741
861,COMORBIDADES_HAS/SEQUELA AVC,0.0006865594598337221
1499,prontuario_NÃO RETORNOU AMBULATÓRIO,0.0006665820328088052
986,MÊS_FEVEREIRO,0.0006559154445020469
671,COMORBIDADES_HAS/CARDIOPATIA/AVCI/MARCAPASSO,0.0006531521237353496
1550,"prontuario_REINTERNOU DEPOIS DE UM MÊS COM OBSTIPAÇÃO COM BOA EVOLUÇÃO, FEZ DOPLER MIE SEM TVP",0.0006519153966236425
747,COMORBIDADES_HAS/DM/GLAUCOMA,0.0006411388359377
963,COMORBIDADES_TABAGISMO,0.0006356830230178656
1027,MÊS_jan.-24,0.0006328002609484298
1052,MÊS_nov.-19,0.0006313749380960365
1377,prontuario_EVOLUIU COM NECESSIDADE DVA UTI EVOLUINDO CHOQUE REFRATÁRIO E ÓBITO ,0.0006279762493176369
1555,prontuario_RETORNO AMBULATORIAL OK ,0.0006241871333315724
346,MÉDIA DE PERMANÊNCIA_34-35,0.0006217331516235766
585,COMORBIDADES_GLAUCOMA,0.0006124713204367728
1488,prontuario_NECESSITOU TRANSFUSÃO DUAS BOLSAS DE SANGUE,0.0006041529986297033
648,COMORBIDADES_HAS/ARRTMIA/GLAUCOMA,0.0005986967194497472
32,CIRURGIA_DHS E ,0.0005937367811874605
35,CIRURGIA_DHSD,0.0005925594258664624
1068,ELETIVA_N,0.0005889049142053078
81,TEMPO TRAUMA/PORTA_42-43,0.0005888945977141395
285,TEMPO CIRURGIA A ALTA_40-41,0.0005871458127446938
1077,INFECÇÃO FO_n,0.0005815922715026165
1562,prontuario_RETORNO AMBULATÓRIO OK FEZ ERISIPELA APÓS 60 DIAS,0.0005569193874982295
71,TEMPO TRAUMA/PORTA_22-23,0.0005537220073342546
1126,prontuario_01 SUSP 29/05 ITU,0.0005493059349432912
996,MÊS_NOVEMBRO,0.0005322364818183827
1020,MÊS_fev.-23,0.0005239692469974653
627,COMORBIDADES_HAS/ALZHEIMER/DM,0.0005183039065297306
1480,prontuario_MORTE SUBITA ENFERMARIA PROVAVEL TEP,0.0005127418732846892
769,COMORBIDADES_HAS/DM/MARCA-PASSO/AR,0.0005124097217081637
1024,MÊS_jan.-21,0.0005004638593898489
538,COMORBIDADES_DM/HAS/SEQUELA DE POLIOMIELITE,0.000500391843015064
1666,prontuario_UMA SUSPENSÃO DEVIDO ITU FALHA PROTOCOLO AV CLINICA BOA EVOLUÇÃO AMBULATORIAL,0.0004878576718680766
725,COMORBIDADES_HAS/DM/DEMENCIA,0.00048474530082047164
731,COMORBIDADES_HAS/DM/DEPRESSÃO,0.00048426100668897234
1074,INFECÇÃO FO_S,0.00048123629300836476
1103,prontuario_01 SUSP 14/02 FALHA OPME,0.00047990635437728207
520,COMORBIDADES_DM/HAS/CARDIOPATIA,0.0004770771907719054
1028,MÊS_janeiro,0.000464551833035436
756,COMORBIDADES_HAS/DM/IAM/IRC DIALITICA,0.00046366241223029465
471,COMORBIDADES_DEMENCIA SENIL,0.00046244243145430563
690,COMORBIDADES_HAS/DLP,0.00045827765540493154
948,COMORBIDADES_PARKINSON/HAS/DEPRESSÃO/INSONIA,0.00044925385151152247
1320,prontuario_CHEGOU ITU 01 SUSP 03 DE JANEIRO POR DIARREIA,0.0004482648564846179
427,COMORBIDADES_AMAUROSE BILATERAL,0.0004420606595480681
944,COMORBIDADES_PARKINSON/DEMENCIA/ALZHEIMER/HAS,0.0004371616274812741
531,COMORBIDADES_DM/HAS/ICC/HIPOTIREOIDISMO,0.0004363214601427359
639,COMORBIDADES_HAS/ARRITIMIA,0.00043600043398071413
1075,INFECÇÃO FO_SIM,0.0004331286777346416
1570,"prontuario_RETORNOU DIA 14/06/2017 POIS CAIU REFRATURANDO MEMBRO NO LOCAL DA PRÓTESE, EM 19/06 RETIROU A PROTESE, EVOLUIU COM INFECÇÃO + MULTIPLAS LIMPEZAS CIRURGICAS + OBITO POR SEPSE.",0.0004310629575386068
348,MÉDIA DE PERMANÊNCIA_38-39,0.0004294487154818828
351,MÉDIA DE PERMANÊNCIA_44-45,0.0004271789330528343
1415,prontuario_FEZ DESSATURAÇÃO COMTAQUICARDIUA SAT O2 78% ANGIOTC NL,0.0004264742181354684
554,COMORBIDADES_DPOC TABAGISMO,0.00042520794727118715
1069,ELETIVA_n,0.0004250670010118643
257,TEMPO ATÉ CIRURGIA_20-21,0.00042434142710183134
1594,prontuario_TCE COM HSA TT/O CONSERVADOR BOA EVOLUÇÃO,0.00041680960137314705
1116,prontuario_01 SUSP 22/05 DEVIDO DIARREIA INTENSA ENTROU ATB ,0.0004166257755295494
629,COMORBIDADES_HAS/ALZHEIMER/HIPOTIREOIDISMO/,0.0004147402099717295
642,COMORBIDADES_HAS/ARRITMIA,0.0004145485953904799
1588,"prontuario_SUSPENSA PRIMEIRA CIRURGIA PORQUE PAC EVACUOU NA SALA, BOA EVOLUÇAO AMBULATORIAL",0.0004121412106134516
789,COMORBIDADES_HAS/DRC/HIPERURICMIA,0.00041074980176717036
938,COMORBIDADES_OSTEOPOROSE,0.00041022521976674594
15,Doenças Gastro-Intestinais (Diverticulite),0.00040958959625631263
1553,prontuario_RETORNO AMB OK,0.0004088132457961718
75,TEMPO TRAUMA/PORTA_30-31,0.0004086664016954892
1295,prontuario_BOA EVOLUÇÃO RETORNO AMB OK,0.0004059324501913153
1498,prontuario_NÃO RETORNOU AMBULATORIO,0.0004058185865742532
1145,prontuario_01 SUSP EVACUAÇÃO SALA,0.00040462956952552564
636,COMORBIDADES_HAS/ALZHEIMER25/01/2018,0.00040436357536651065
942,COMORBIDADES_PARKINSON/DAOP,0.0004035747582160319
707,COMORBIDADES_HAS/DM/ANEMIA,0.00040320929122069304
1137,"prontuario_01 SUSP DEVIDO HAS, RETORNO AMBULATORIAL OK",0.0003999972847114247
1298,prontuario_BOA EVOLUÇÃO RETORNO AMBULATÓRIO OK,0.0003968219323698987
78,TEMPO TRAUMA/PORTA_36-37,0.00039298870395892483
830,COMORBIDADES_HAS/ICO/DPOC/ICC,0.0003852654264518517
1533,prontuario_PASSOU NA UPA E NÃO DIAGNOSTICOU FX ,0.0003773263106608218
839,COMORBIDADES_HAS/LABIRINTOPATIA,0.00036907785214369165
1513,prontuario_OPEROU FEZ CIVD + IRA ,0.0003680294549238026
537,COMORBIDADES_DM/HAS/SEQUELA AVC/CARDIOPATA,0.000364096103059695
876,COMORBIDADES_HIPOTIREOIDISMO/ANSIEDADE,0.00036382274788612654
779,COMORBIDADES_HAS/DM/TABAGISMO,0.0003607148650390962
924,COMORBIDADES_IVC/PROSTATISMO,0.00036008997632398814
262,TEMPO ATÉ CIRURGIA_30-31,0.00035851096367480145
73,TEMPO TRAUMA/PORTA_26-27,0.00035759067830298455
1441,prontuario_FEZ TEP + PNEUMOTORAX FOI FEITO FIBRINOLITICO EVOLUIU A ÓBITO,0.0003561950866014575
905,COMORBIDADES_ICoR/PO REVASC,0.0003550313820397248
718,COMORBIDADES_HAS/DM/AVCI,0.0003547037150742028
911,COMORBIDADES_IRA/MARCAPASSO,0.00035403954859705266
823,COMORBIDADES_HAS/ICC/HIPOTIREOIDISMO,0.0003525093141073399
821,COMORBIDADES_HAS/ICC/AVC/DM,0.0003519286257617761
1474,prontuario_INSTABILIZOU RPA FOI P/ UTI ÓBITO MADRUGADA,0.0003509016398528532
411,COMORBIDADES_ALZHEIMER/DM/HAS,0.0003506964982952823
647,COMORBIDADES_HAS/ARRTMIA/DM,0.0003476857125019589
782,COMORBIDADES_HAS/DPOC,0.0003467381005362891
870,COMORBIDADES_HAS/USO MAREVAN/HIPOTIREOIDISMO,0.0003454796029416953
1552,prontuario_REINTERNOU POR ITU OBTENDO ALTA DEPOIS BOA EVOLUÇÃO AMBULATORIAL,0.00034481051675923726
1436,prontuario_FEZ SEPSE PULMORA URINARIA E CHOQUE MIXTO,0.0003433263756273286
1487,prontuario_NECESSITOU ESTRATIFICAÇÃO CARDIOLOGICA DEVIDO DOR PRECORDIAL,0.00034064239916365617
72,TEMPO TRAUMA/PORTA_24-25,0.00033521599330259505
602,COMORBIDADES_HAS DM HIPOTIREOIDISMO,0.000331532163001484
1608,prontuario_TEVE CIR SISPENSA POR AVANÇO DE HORÁRIO + FALTA PERFURADORBOA EVOLUÇÃO AMBULATÓRIO,0.0003308887086940583
1693,prontuario_VAGA ZERO BOA EVOLUÇAO AMBULATORIAL,0.00033017375117478265
1375,prontuario_EVOLUIU COM LUXAÇÃO REPETIÇÃO NO AMBULATORIO QUE NECESSITOU REDUÇÃO INCRUENTA,0.00032739815469625083
34,CIRURGIA_DHS E+OSTEOSÍNTESE RADIOE,0.00032712865050559393
1592,"prontuario_SÓ FOI P/ CASA DIA 16/04 DEVIDO PROBLEMA SOCIAL, NÃO RETORNOU AMBULATÓRIO",0.0003262552054217285
615,COMORBIDADES_HAS+IRC,0.0003236655458489944
1574,prontuario_SEQUELA AVC 11 ANOS  01 SUSP 17/07 DEVIDO ITU ,0.00032112234746921016
408,COMORBIDADES_ALZHEIMER/DISLIPIDEMIA/HAS/INSTITUCIONALIZADA HÁ SEIS MESES,0.0003209904698443826
912,COMORBIDADES_IRC,0.00031947885718368367
1203,prontuario_01 SUSPENSÃO POR EVACUAÇÃO EM SALA BOA EVOLUÇÃO AMBULATORIAL,0.0003193996601528555
286,TEMPO CIRURGIA A ALTA_42-43,0.0003189607537675599
36,CIRURGIA_DHSE,0.000318151411859015
1444,prontuario_FEZ TVP PÓS-OPERATÓRIO EM MIE  AGUARDOU ANTICOAGULAÇÃO P/ ALTA ,0.0003171380442741014
1452,prontuario_FICOU ATE DIA 08/03 NO HOSPITAL - ALTA SOCIAL - FOI PARA ALBERGUE,0.0003161842865320373
279,TEMPO CIRURGIA A ALTA_28-29,0.0003138806890685917
410,COMORBIDADES_ALZHEIMER/DM/EPILEPSIA,0.0003115799334414692
1628,prontuario_TINHA FX UMERO CONCOMITANTE QUE FOI OPERADA DIA 29/02,0.00031023067119337956
1428,prontuario_FEZ IRA/ITU CRESCEU E COLI SENSÍVEL PCR SEMI,0.00030721407901815334
696,COMORBIDADES_HAS/DLP/HIPOTIREOIDISMO,0.000305349464925777
616,COMORBIDADES_HAS/,0.0003033626701720041
402,COMORBIDADES_ALZHEIMER+DAC,0.0003032749304429732
277,TEMPO CIRURGIA A ALTA_24-25,0.00030306884972532106
1330,"prontuario_CIRURGIA SUSPENSA DIA 12 POR PROBLEMA LOGISTICO, BOA EVOLUÇÃO AMBULATÓRIO",0.000302063393946804
415,COMORBIDADES_ALZHEIMER/HAS,0.00030038746564675515
1632,prontuario_TINHA SUSPEITA DE HDA QUE NEM FOI VISTA EVOLUIU BEM,0.00030005076154040816
632,COMORBIDADES_HAS/ALZHEIMER/IRA/PLAQUETOPENIA/,0.0002990891925439481
552,COMORBIDADES_DPOC,0.00029886200456296226
1680,"prontuario_UMA SUSPENSÃO POR AVANÇO DE HORÁRIO, BOA EVOLUÇÃO AMBULATORIAL",0.0002969982004378534
1586,"prontuario_SUSPENSA CIR DIA 05 HB 7,8 TRANSFUNDIU, RETORNO AMB OK",0.00029656368194776016
512,COMORBIDADES_DM/EPLEPSIA/AVCI HÁ 02 MESES,0.0002952175345633189
1657,prontuario_UMA SUSPENSÃO AVANÇO DE HORÁRIO / BOA EVOLUÇÃO AMBULATORIAL ,0.0002948372083043835
819,COMORBIDADES_HAS/ICC/ALZHEIMER,0.0002944655391314989
77,TEMPO TRAUMA/PORTA_34-35,0.0002913275606165315
1090,prontuario_01 SUSP 07/02 PARTO CESAREA ,0.0002886461952704736
1684,prontuario_UMA SUSPENSÃO POR HAS BOA EVOLUÇÃO,0.00028811669733017303
284,TEMPO CIRURGIA A ALTA_38-39,0.0002860824670695416
1502,"prontuario_NÃO RETORNOU AMBULATÓRIO, TENTADO CONTATO 44279627 SEM SUCESSO    ",0.0002858947262369953
657,COMORBIDADES_HAS/AVC,0.00028058675092362264
1654,prontuario_UMA SUSPENSÃO 22/04 POR FALTA DE PEFURADOR,0.0002804363301790364
798,COMORBIDADES_HAS/GOTA/IRC,0.0002777047107026557
902,COMORBIDADES_ICC/IAM,0.00027756649715921926
977,COMORBIDADES_dm/has,0.00027731689588096815
518,COMORBIDADES_DM/HAS/ARRTMIA/PARKINSON,0.00027692863710746
1467,prontuario_IAM FEZ CATE DIA 03/03 E INTERNOU 06/03 UMA SUSPENSÃO FALTA DE EQUIPE,0.0002759178928927393
1370,prontuario_EVOLUIU COM DOR NO PRIMEIRO PO FEITO MORFINA EVOLUIU HIPOTENSÃO E ÓBITO TEVE UMA SUSPENSÃO PELA SITUAÇÃO CLINICA ADVERSA,0.0002749168578181614
956,COMORBIDADES_SEQUELA AVC,0.0002738407112393628
705,COMORBIDADES_HAS/DM/ALZHEIRMER,0.00027310476544330735
1501,"prontuario_NÃO RETORNOU AMBULATÓRIO, REINTERNOU EM 20/12/2021 APÓS QUEDA E INICIO SAIDA SECREÇÃO RETIROU PROTESE 22/02 ACABOU PALIANDO E EVOLUINDO ÓBITO POR SEPSE ",0.0002725545284825816
1095,prontuario_01 SUSP 11/12 ITU   PALIOU PROPORCIONAL,0.00027081262696715955
1678,prontuario_UMA SUSPENSÃO HAS BOA EVOLUÇÃO AMBUÇATORIAL,0.00027045351862171917
74,TEMPO TRAUMA/PORTA_28-29,0.0002693702097746876
378,MÉDIA DE PERMANÊNCIA_98-99,0.0002690519139369338
1682,"prontuario_UMA SUSPENSÃO POR EVACUAÇÃO NA SLA APÓS RAQIII,",0.00026828421874020464
776,COMORBIDADES_HAS/DM/SEQUELA AVC,0.00026485991062145774
1683,"prontuario_UMA SUSPENSÃO POR EVACUAÇÃO NA SLA APÓS RAQIII, CIRURGIA SUSPENSA FALTA DE FAMILIARES PARA ASSINAR TERMO, ACABOU DEMORANDO 08 DIAS PARA OPERAR, TEVE QUE PASSAR SONDA VESICAL PELA EQUIPE DA URO, TINHA FX ÚMERO AGUARDANDO CIRURGIA, BRONCOASPIROU NA ENFERMARIA  ",0.0002646391272590487
1309,prontuario_CASO SOCIAL DEMOROU PÁRA FAMILIA LEVAR,0.0002641593339095476
1531,prontuario_PALIOU NO PÓS-OPERATÓRIO DEVIDO MULTIP´LAS COMORBIDADES,0.00026407229934640765
1496,prontuario_NO TRANS OPERATORIO DESSATURAÇÃO SUPRA PCR IAM? TEP?,0.0002636760709984988
633,COMORBIDADES_HAS/ALZHEIMER/ITU,0.00026362434143890336
953,COMORBIDADES_PROTESE VALVAR/ICC/ANTICOAGULADO,0.0002629800327438837
1538,prontuario_POS OPERATORIO NA UTI,0.0002624481309981871
278,TEMPO CIRURGIA A ALTA_26-27,0.0002624323268292901
1511,"prontuario_OPEROU EM JANEIRO, EVOLUIU COM REFRATURA EM JULHO SENDO NECESSARIO RETIRAR DHS E COLOCAR PRÓTESECIR SUSPENSA POR FALTA RADIOSCOPIA DIA 11/01,OPEROU DIA 13/01,",0.0002620744859444773
848,COMORBIDADES_HAS/OBESIDADE,0.00026146759000771004
795,COMORBIDADES_HAS/ETILISMO,0.0002595224639048079
619,COMORBIDADES_HAS/ALZHEIMER/,0.000258908547672845
1112,"prontuario_01 SUSP 17/11 POR HB 8,2 ",0.00025888961551124684
347,MÉDIA DE PERMANÊNCIA_36-37,0.0002570323570891666
1595,"prontuario_TCE+FX FEMUR+FX UMERO, FEZ ANEMIA REQUEREU TRANSFUSÃO, FEZ SUSPEITA TEV, CONSERVADOR TT/O TCE E UMERO",0.0002566573709779745
758,COMORBIDADES_HAS/DM/ICC,0.0002561780838560052
482,COMORBIDADES_DEMENCIA/HIV,0.0002560806365006768
757,COMORBIDADES_HAS/DM/IAM/OBESIDADE/ICC,0.0002549308538922644
55,CIRURGIA_RETIRADA DHS + PTQ D ,0.0002545558191405026
356,MÉDIA DE PERMANÊNCIA_54-55,0.0002528821253686268
1343,prontuario_DESSATUROU APÓS CHEGAR AO HOSPITAL FOI PARA UTI,0.00025275266118739387
728,COMORBIDADES_HAS/DM/DEMENCIA/AVC,0.00025190176119214996
1515,prontuario_OPEROU RADIO DISTAL DIA 21/06,0.00025086984370544045
431,COMORBIDADES_ARRITMIA,0.0002496577800614127
856,COMORBIDADES_HAS/PO DISSECÇÃO AORTA,0.0002495373130551782
572,COMORBIDADES_ETILISMO/ITU,0.000249362416340731
1664,prontuario_UMA SUSPENSÃO DEVIDO CARDIOPATIA BOA EVOLEÇÃO AMBULATORIAL,0.0002490985130529098
1226,prontuario_02 SUSPENSÕES UMA POR FEBRE OUTRA POR APRESENTAR DSPNEIA APÓS FAZER A RAQUI ANESTESIA BOA EVOLUÇÃO AMBULATORIAL,0.00024897818477250113
1508,prontuario_OPEROU COTOVELO TB,0.0002489337574965313
1536,prontuario_PO DHS EVOLUIU NECESSIDADE PRÉTESE INFECTOU SEPSE,0.00024754207239282655
483,COMORBIDADES_DEMENCIA/IRC,0.0002465730618226419
1276,prontuario_BOA EVOLUÇÃO AMBULATORIAL POERIORMENTE REINTERNOU DEVIDO BCP VINDO A FALECER SETEMBRO DE OUTRAS CAUSAS ,0.000246496784830442
1360,prontuario_EVOLUIU AUMENTO CREATININA E BCP PALIOU,0.0002445544156277549
1448,prontuario_FEZ USO MERONEM,0.00024430793377533204
405,COMORBIDADES_ALZHEIMER/CARDIOPATIA,0.0002436679770486328
804,COMORBIDADES_HAS/HIPOTIREOIDISMO/DEMENCIA AVANÇADA,0.00024238665323348662
1307,prontuario_CASA DE REPOUSO,0.0002422227301652078
476,COMORBIDADES_DEMENCIA/HAS,0.00024201780933715632
1688,prontuario_UMA SUSPENSÃO PROBLEMA MATERIAL BOA EVOLUÇÃO AMBULATORIAL,0.00024180233411503927
418,COMORBIDADES_ALZHEIMER/HAS/DEPRESSÃO/OBESIDADE,0.00024168820506423737
613,COMORBIDADES_HAS+EPILEPSIA+SEQUELA AVC+PLAQUETPOENIA 82.000,0.00024128962107151892
